Crash Number,Date Time,Day Of Week,Object 1,Object 2,Street Number,Steet Name,Cross Street,Location,Latitude,Longitude,Coordinates
24821,9/24/10 2:41 PM,Friday,Auto,Bicycle,686,Cambridge St,,"686 Cambridge St Cambridge, MA",42.371962,-71.087955,"(42.371962, -71.087955)"
24849,9/18/10 8:25 PM,Saturday,Auto,Bicycle,,Cambridge St,Windsor St," Cambridge St & Windsor St Cambridge, MA",42.37275,-71.093288,"(42.37275, -71.093288)"
24851,10/1/10 6:59 AM,Friday,Auto,Bicycle,,Cambridge St,LINE ST," Cambridge St & LINE ST Cambridge, MA",42.374028,-71.103097,"(42.374028, -71.103097)"
24876,10/4/10 10:50 AM,Monday,Auto,Bicycle,,Cambridge St,Warren St," Cambridge St & Warren St Cambridge, MA",42.372102,-71.088276,"(42.372102, -71.088276)"
24878,10/4/10 2:00 PM,Monday,Auto,Bicycle,,Beech St,ELM ST," Beech St & ELM ST Cambridge, MA",42.39151,-71.119059,"(42.39151, -71.119059)"
24893,10/6/10 6:29 PM,Wednesday,Auto,Bicycle,,Massachusetts Ave,MELLEN ST," Massachusetts Ave & MELLEN ST Cambridge, MA",42.380832,-71.11987,"(42.380832, -71.11987)"
24899,10/3/10 7:09 AM,Sunday,Auto,Bicycle,220,Alewife Brook Pky,,"220 Alewife Brook Pky Cambridge, MA",42.388585,-71.143236,"(42.388585, -71.143236)"
24922,10/12/10 2:29 PM,Tuesday,Auto,Bicycle,330,Broadway,Amory St,"330 Broadway Cambridge, MA",42.369561,-71.102171,"(42.369561, -71.102171)"
24926,10/13/10 10:19 AM,Wednesday,Auto,Bicycle,,Columbia St,LINCOLN ST," Columbia St & LINCOLN ST Cambridge, MA",42.371406,-71.095344,"(42.371406, -71.095344)"
24940,10/17/10 11:10 PM,Sunday,Auto,Bicycle,,PROSPECT ST,Hampshire St," PROSPECT ST & Hampshire St Cambridge, MA",42.372202,-71.098975,"(42.372202, -71.098975)"
24943,10/18/10 8:29 AM,Monday,Auto,Bicycle,,Massachusetts Ave,Landsdowne St," Massachusetts Ave & Landsdowne St Cambridge, MA",42.361746,-71.097556,"(42.361746, -71.097556)"
24962,10/20/10 5:55 PM,Wednesday,Auto,Bicycle,,Cambridge St,Columbia St," Cambridge St & Columbia St Cambridge, MA",42.372912,-71.094512,"(42.372912, -71.094512)"
24963,10/21/10 11:46 AM,Thursday,Auto,Bicycle,,Massachusetts Ave,Amherst St," Massachusetts Ave & Amherst St Cambridge, MA",42.358188,-71.093089,"(42.358188, -71.093089)"
24967,10/23/10 12:53 PM,Saturday,Taxi,Bicycle,,,,"  &  Cambridge, MA",,,
24981,10/25/10 10:11 AM,Monday,Auto,Bicycle,,Broadway,Antrim St," Broadway & Antrim St Cambridge, MA",42.370399,-71.103764,"(42.370399, -71.103764)"
24991,10/25/10 12:34 PM,Monday,Auto,Bicycle,,Putnam Ave,Massachusetts Ave," Putnam Ave & Massachusetts Ave Cambridge, MA",42.370356,-71.113274,"(42.370356, -71.113274)"
24999,10/27/10 9:40 AM,Wednesday,Auto,Bicycle,,Massachusetts Ave,GARFIELD ST," Massachusetts Ave & GARFIELD ST Cambridge, MA",42.383788,-71.119514,"(42.383788, -71.119514)"
25001,10/27/10 6:20 PM,Wednesday,Auto,Bicycle,,Columbia St,Bishop Allen Dr," Columbia St & Bishop Allen Dr Cambridge, MA",42.364154,-71.099474,"(42.364154, -71.099474)"
25011,10/30/10 11:03 AM,Tuesday,Taxi,Bicycle,575,Massachusetts Ave,,"575 Massachusetts Ave Cambridge, MA",42.364881,-71.102534,"(42.364881, -71.102534)"
25018,11/1/10 7:54 AM,Monday,Auto,Bicycle,,HARVARD ST,LEE ST," HARVARD ST & LEE ST Cambridge, MA",42.369762,-71.105848,"(42.369762, -71.105848)"
25022,11/1/10 10:25 PM,Monday,Auto,Bicycle,199,Hampshire St,,"199 Hampshire St Cambridge, MA",42.373046,-71.100106,"(42.373046, -71.100106)"
25023,11/2/10 4:28 PM,Tuesday,Auto,Bicycle,,Western Ave,PLEASANT ST," Western Ave & PLEASANT ST Cambridge, MA",42.365079,-71.10695,"(42.365079, -71.10695)"
25024,11/2/10 6:43 PM,Tuesday,Auto,Bicycle,878,Cambridge St,,"878 Cambridge St Cambridge, MA",42.372861,-71.09455,"(42.372861, -71.09455)"
25045,11/8/10 4:57 PM,Monday,Auto,Bicycle,,Massachusetts Ave,SOMERVILLE AVE," Massachusetts Ave & SOMERVILLE AVE Cambridge, MA",42.388965,-71.119695,"(42.388965, -71.119695)"
25056,11/10/10 8:04 AM,Wednesday,Auto,Bicycle,,Hampshire St,Amory St," Hampshire St & Amory St Cambridge, MA",42.372845,-71.099759,"(42.372845, -71.099759)"
25058,11/10/10 4:28 PM,Wednesday,Auto,Bicycle,,Cambridge St,Second St," Cambridge St & Second St Cambridge, MA",42.370859,-71.078595,"(42.370859, -71.078595)"
25087,11/19/10 9:21 PM,Friday,Auto,Bicycle,,Hampshire St,Cambridge St," Hampshire St & Cambridge St Cambridge, MA",42.373729,-71.100837,"(42.373729, -71.100837)"
25090,11/21/10 11:25 AM,Sunday,Auto,Bicycle,,Columbia St,Hampshire St," Columbia St & Hampshire St Cambridge, MA",42.369917,-71.096192,"(42.369917, -71.096192)"
25091,11/21/10 7:19 PM,Sunday,Auto,Bicycle,1153,Cambridge St,,"1153 Cambridge St Cambridge, MA",42.37326,-71.096492,"(42.37326, -71.096492)"
25093,11/19/10 8:29 AM,Friday,Auto,Bicycle,,Putnam Ave,Allston St," Putnam Ave & Allston St Cambridge, MA",42.361702,-71.113463,"(42.361702, -71.113463)"
25098,11/22/10 8:15 AM,Monday,Auto,Bicycle,48-5,Hampshire St,Webster Ave,"48-5 Hampshire St Cambridge, MA",42.366763,-71.092449,"(42.366763, -71.092449)"
25109,11/20/10 8:30 AM,Saturday,Van,Bicycle,,Franklin St,Brookline Pl," Franklin St & Brookline Pl Cambridge, MA",42.362426,-71.101698,"(42.362426, -71.101698)"
25114,11/24/10 12:49 PM,Wednesday,Auto,Bicycle,267,PEARL ST,Putnam Ave,"267 PEARL ST Cambridge, MA",42.358169,-71.109829,"(42.358169, -71.109829)"
25115,11/24/10 12:56 PM,Wednesday,Taxi,Bicycle,,JFK St,ELIOT ST," JFK St & ELIOT ST Cambridge, MA",42.371416,-71.121105,"(42.371416, -71.121105)"
25125,11/29/10 6:27 PM,Monday,Auto,Bicycle,,Broadway,PROSPECT ST," Broadway & PROSPECT ST Cambridge, MA",42.369317,-71.101021,"(42.369317, -71.101021)"
25129,11/18/10 6:00 PM,Thursday,Bicycle,Parked Vehicle,1783,Massachusetts Ave,,"1783 Massachusetts Ave Cambridge, MA",42.385988,-71.119062,"(42.385988, -71.119062)"
25132,11/30/10 8:29 AM,Tuesday,Auto,Bicycle,,MOUNT AUBURN ST,Putnam Ave," MOUNT AUBURN ST & Putnam Ave Cambridge, MA",42.370091,-71.113336,"(42.370091, -71.113336)"
25157,12/4/10 6:00 PM,Saturday,Pedestrian,Bicycle,,Massachusetts Ave,Temple St," Massachusetts Ave & Temple St Cambridge, MA",42.365973,-71.104675,"(42.365973, -71.104675)"
25160,12/5/10 1:31 PM,Sunday,Auto,Bicycle,1672,Massachusetts Ave,HUDSON ST,"1672 Massachusetts Ave Cambridge, MA",42.382134,-71.119877,"(42.382134, -71.119877)"
25162,12/6/10 5:19 PM,Monday,Auto,Bicycle,,Broadway,Windsor St," Broadway & Windsor St Cambridge, MA",42.367107,-71.095416,"(42.367107, -71.095416)"
25164,12/7/10 9:00 AM,Tuesday,Auto,Bicycle,,Concord Ave,MOULTON ST," Concord Ave & MOULTON ST Cambridge, MA",42.389615,-71.148119,"(42.389615, -71.148119)"
25165,12/7/10 2:00 PM,Tuesday,Auto,Bicycle,,Broadway,Inman St," Broadway & Inman St Cambridge, MA",42.370072,-71.102933,"(42.370072, -71.102933)"
25170,12/8/10 1:35 PM,Wednesday,Auto,Bicycle,,Albany St,Massachusetts Ave," Albany St & Massachusetts Ave Cambridge, MA",42.360828,-71.096012,"(42.360828, -71.096012)"
25189,12/13/10 9:00 AM,Monday,Auto,Bicycle,874,Massachusetts Ave,LEE ST,"874 Massachusetts Ave Cambridge, MA",42.367715,-71.107618,"(42.367715, -71.107618)"
25199,12/14/10 5:51 PM,Tuesday,Auto,Bicycle,,Massachusetts Ave,Bigelow St," Massachusetts Ave & Bigelow St Cambridge, MA",42.366995,-71.106343,"(42.366995, -71.106343)"
25215,12/17/10 9:00 AM,Friday,Auto,Bicycle,,GRANITE ST,ROCKINGHAM ST," GRANITE ST & ROCKINGHAM ST Cambridge, MA",42.355591,-71.111313,"(42.355591, -71.111313)"
25274,1/2/11 4:50 PM,Sunday,Auto,Bicycle,,MEMORIAL DR,PLEASANT ST," MEMORIAL DR & PLEASANT ST Cambridge, MA",42.35884,-71.115589,"(42.35884, -71.115589)"
25294,1/5/11 6:14 PM,Thursday,Auto,Bicycle,,Massachusetts Ave,FOREST ST," Massachusetts Ave & FOREST ST Cambridge, MA",42.38538,-71.119336,"(42.38538, -71.119336)"
25317,1/10/11 5:42 PM,Monday,Bicycle,,28,FERNALD DR,,"28 FERNALD DR Cambridge, MA",42.382975,-71.126268,"(42.382975, -71.126268)"
25333,1/10/11 9:00 AM,Monday,Auto,Bicycle,,River St,HOWARD ST," River St & HOWARD ST Cambridge, MA",42.363279,-71.110521,"(42.363279, -71.110521)"
25334,1/14/11 8:29 AM,Friday,Auto,Bicycle,,Hampshire St,ELM ST," Hampshire St & ELM ST Cambridge, MA",42.37048,-71.096879,"(42.37048, -71.096879)"
25347,1/17/11 3:39 PM,Monday,Auto,Bicycle,41,LINNAEAN ST,,"41 LINNAEAN ST Cambridge, MA",42.383558,-71.124268,"(42.383558, -71.124268)"
25375,1/18/11 5:39 AM,Tuesday,Truck,Bicycle,,JFK St,," JFK St &  Cambridge, MA",,,
25379,1/20/11 8:35 PM,Thursday,Auto,Bicycle,,Broadway,Portland St," Broadway & Portland St Cambridge, MA",42.365792,-71.09207,"(42.365792, -71.09207)"
25391,1/23/11 5:03 PM,Sunday,Auto,Bicycle,,Bennett St,ELIOT ST," Bennett St & ELIOT ST Cambridge, MA",42.372321,-71.121864,"(42.372321, -71.121864)"
25561,2/11/11 6:31 AM,Thursday,Bicycle,Parked Vehicle,,Trowbridge St,MEMORIAL DR," Trowbridge St & MEMORIAL DR Cambridge, MA",,,
25564,2/11/11 9:56 AM,Friday,Auto,Bicycle,,Broadway,Ames St," Broadway & Ames St Cambridge, MA",42.363981,-71.087416,"(42.363981, -71.087416)"
25593,2/14/11 6:30 PM,Monday,Bicycle,Auto,,Massachusetts Ave,Windsor St," Massachusetts Ave & Windsor St Cambridge, MA",42.361389,-71.096953,"(42.361389, -71.096953)"
25620,2/22/11 5:00 PM,Tuesday,Auto,Bicycle,1,Hampshire St,,"1 Hampshire St Cambridge, MA",42.365232,-71.090065,"(42.365232, -71.090065)"
25625,2/22/11 7:30 PM,Tuesday,Auto,Bicycle,,Broadway,LEE ST," Broadway & LEE ST Cambridge, MA",42.370823,-71.104839,"(42.370823, -71.104839)"
25659,2/28/11 5:12 PM,Monday,Auto,Bicycle,872,Massachusetts Ave,LEE ST,"872 Massachusetts Ave Cambridge, MA",42.367621,-71.107586,"(42.367621, -71.107586)"
25663,3/1/11 9:45 AM,Monday,Auto,Bicycle,2469,Massachusetts Ave,,"2469 Massachusetts Ave Cambridge, MA",42.369202,-71.110689,"(42.369202, -71.110689)"
25664,3/1/11 11:04 AM,Monday,Auto,Bicycle,50,Vassar St,,"50 Vassar St Cambridge, MA",42.361229,-71.09214,"(42.361229, -71.09214)"
25745,3/19/11 3:30 PM,Saturday,Auto,Bicycle,1559,Massachusetts Ave,,"1559 Massachusetts Ave Cambridge, MA",42.369202,-71.110689,"(42.369202, -71.110689)"
25751,3/22/11 12:30 PM,Tuesday,Auto,Bicycle,,Concord Ave,Walden St," Concord Ave & Walden St Cambridge, MA",42.383833,-71.134089,"(42.383833, -71.134089)"
25765,3/25/11 1:19 AM,Friday,Auto,Bicycle,,Massachusetts Ave,Norfolk St," Massachusetts Ave & Norfolk St Cambridge, MA",42.364424,-71.102083,"(42.364424, -71.102083)"
25766,3/25/11 9:00 AM,Friday,Auto,Bicycle,,ELIOT ST,Bennett St," ELIOT ST & Bennett St Cambridge, MA",42.372316,-71.121861,"(42.372316, -71.121861)"
25796,3/26/11 12:59 PM,Saturday,Auto,Bicycle,,JFK St,ELIOT ST," JFK St & ELIOT ST Cambridge, MA",42.371416,-71.121105,"(42.371416, -71.121105)"
25808,4/3/11 3:10 PM,Sunday,Auto,Bicycle,,MOUNT AUBURN ST,Athens St," MOUNT AUBURN ST & Athens St Cambridge, MA",42.370745,-71.115182,"(42.370745, -71.115182)"
25809,4/4/11 6:59 AM,Monday,Auto,Bicycle,,Cambridge St,ROBERTS RD," Cambridge St & ROBERTS RD Cambridge, MA",42.37476,-71.108824,"(42.37476, -71.108824)"
25813,4/4/11 7:11 PM,Monday,Auto,Bicycle,,Cambridge St,Tremont St," Cambridge St & Tremont St Cambridge, MA",42.37325,-71.09713,"(42.37325, -71.09713)"
25821,4/7/11 11:29 AM,Thursday,Auto,Bicycle,743,Massachusetts Ave,,"743 Massachusetts Ave Cambridge, MA",42.366462,-71.105186,"(42.366462, -71.105186)"
25824,3/7/11 6:04 PM,Thursday,Auto,Bicycle,,Massachusetts Ave,Rindge Ave," Massachusetts Ave & Rindge Ave Cambridge, MA",42.392615,-71.124874,"(42.392615, -71.124874)"
25835,4/11/11 6:24 PM,Monday,Auto,Bicycle,,Massachusetts Ave,HANCOCK ST," Massachusetts Ave & HANCOCK ST Cambridge, MA",42.36838,-71.108783,"(42.36838, -71.108783)"
25873,4/19/11 5:49 PM,,Auto,Bicycle,,Putnam Ave,PLEASANT ST," Putnam Ave & PLEASANT ST Cambridge, MA",42.360131,-71.112777,"(42.360131, -71.112777)"
25879,4/21/11 8:15 AM,,Auto,Bicycle,,Broadway,Ames St," Broadway & Ames St Cambridge, MA",42.363981,-71.087416,"(42.363981, -71.087416)"
25900,4/29/11 8:22 AM,Tuesday,Auto,Bicycle,625,MOUNT AUBURN ST,,"625 MOUNT AUBURN ST Cambridge, MA",42.375376,-71.147145,"(42.375376, -71.147145)"
25902,4/30/11 11:49 PM,Wednesday,Auto,Bicycle,204,Hampshire St,,"204 Hampshire St Cambridge, MA",42.373126,-71.100274,"(42.373126, -71.100274)"
25906,4/26/11 9:00 AM,Tuesday,Auto,Bicycle,,PROSPECT ST,HARVARD ST," PROSPECT ST & HARVARD ST Cambridge, MA",42.368301,-71.101743,"(42.368301, -71.101743)"
25908,5/2/11 5:19 PM,Monday,Auto,Bicycle,,Broadway,Columbia St," Broadway & Columbia St Cambridge, MA",42.367871,-71.09736,"(42.367871, -71.09736)"
25919,5/5/11 11:29 AM,Thursday,Auto,Bicycle,,Broadway,ELLERY ST," Broadway & ELLERY ST Cambridge, MA",42.372752,-71.109728,"(42.372752, -71.109728)"
25926,5/7/11 3:59 PM,,Auto,Bicycle,,Massachusetts Ave,Waterhouse St," Massachusetts Ave & Waterhouse St Cambridge, MA",42.37787,-71.120647,"(42.37787, -71.120647)"
25933,5/10/11 4:28 PM,Tuesday,Auto,Bicycle,137,MOUNT AUBURN ST,,"137 MOUNT AUBURN ST Cambridge, MA",42.374003,-71.124392,"(42.374003, -71.124392)"
25934,5/10/11 6:47 PM,Tuesday,Auto,Bicycle,,Broadway,Inman St," Broadway & Inman St Cambridge, MA",42.370072,-71.102933,"(42.370072, -71.102933)"
25953,5/13/11 8:41 AM,Friday,Auto,Bicycle,,Massachusetts Ave,HANCOCK ST," Massachusetts Ave & HANCOCK ST Cambridge, MA",42.36838,-71.108783,"(42.36838, -71.108783)"
25962,5/14/11 9:45 PM,Saturday,Auto,Bicycle,,Bishop Allen Dr,ESSEX ST," Bishop Allen Dr & ESSEX ST Cambridge, MA",42.365853,-71.102331,"(42.365853, -71.102331)"
25980,5/21/11 4:44 PM,Saturday,Auto,Bicycle,,MOUNT AUBURN ST,HAWTHORNE ST," MOUNT AUBURN ST & HAWTHORNE ST Cambridge, MA",42.386721,-71.14101,"(42.386721, -71.14101)"
25984,5/20/11 3:33 PM,Friday,Auto,Bicycle,42,Vassar St,,"42 Vassar St Cambridge, MA",42.361316,-71.092383,"(42.361316, -71.092383)"
25991,5/21/11 3:59 PM,Monday,Auto,Bicycle,,MOUNT AUBURN ST,Coolidge Ave," MOUNT AUBURN ST & Coolidge Ave Cambridge, MA",42.37494,-71.139721,"(42.37494, -71.139721)"
25998,5/26/11 10:09 AM,Thursday,Auto,Bicycle,,ELIOT ST,JFK St," ELIOT ST & JFK St Cambridge, MA",42.371416,-71.121105,"(42.371416, -71.121105)"
26011,5/28/11 11:03 AM,Saturday,Auto,Bicycle,221,Hampshire St,,"221 Hampshire St Cambridge, MA",42.373441,-71.100317,"(42.373441, -71.100317)"
26017,5/31/11 5:07 PM,Saturday,Auto,Bicycle,,Massachusetts Ave,Village St," Massachusetts Ave & Village St Cambridge, MA",42.361986,-71.097962,"(42.361986, -71.097962)"
26020,5/30/11 5:06 PM,Monday,Auto,Bicycle,359,Rindge Ave,,"359 Rindge Ave Cambridge, MA",42.394532,-71.13713,"(42.394532, -71.13713)"
26021,5/31/11 7:40 AM,Tuesday,Auto,Bicycle,,Hampshire St,PROSPECT ST," Hampshire St & PROSPECT ST Cambridge, MA",42.372202,-71.098975,"(42.372202, -71.098975)"
26023,5/31/11 6:59 PM,Tuesday,Auto,Bicycle,250,Brattle St,,"250 Brattle St Cambridge, MA",42.375533,-71.14336,"(42.375533, -71.14336)"
26033,6/3/11 5:29 PM,Friday,Auto,Bicycle,,Vassar St,MAIN ST," Vassar St & MAIN ST Cambridge, MA",42.362709,-71.089933,"(42.362709, -71.089933)"
26042,6/4/11 10:30 AM,Saturday,Auto,Bicycle,,Massachusetts Ave,Rindge Ave," Massachusetts Ave & Rindge Ave Cambridge, MA",42.392615,-71.124874,"(42.392615, -71.124874)"
26044,6/4/11 12:10 PM,Saturday,Auto,Bicycle,,Massachusetts Ave,Hadley St," Massachusetts Ave & Hadley St Cambridge, MA",42.391158,-71.122802,"(42.391158, -71.122802)"
26053,6/7/11 8:35 AM,Tuesday,Auto,Bicycle,,Cambridge St,Cardinal Medeiros Ave," Cambridge St & Cardinal Medeiros Ave Cambridge, MA",42.372123,-71.088456,"(42.372123, -71.088456)"
26054,6/7/11 9:30 AM,Tuesday,Truck,Bicycle,,PROSPECT ST,GARDNER RD," PROSPECT ST & GARDNER RD Cambridge, MA",42.370894,-71.099902,"(42.370894, -71.099902)"
26058,6/7/11 5:25 PM,Tuesday,Auto,Bicycle,,Bishop Allen Dr,Columbia St," Bishop Allen Dr & Columbia St Cambridge, MA",42.364154,-71.099474,"(42.364154, -71.099474)"
26059,6/7/11 5:29 PM,Sunday,Auto,Bicycle,,Brattle St,FRESH POND PKY," Brattle St & FRESH POND PKY Cambridge, MA",42.376154,-71.140758,"(42.376154, -71.140758)"
26060,6/8/11 7:54 AM,Wednesday,Auto,Bicycle,,Broadway,FAYETTE ST," Broadway & FAYETTE ST Cambridge, MA",42.370786,-71.104741,"(42.370786, -71.104741)"
26062,6/7/11 5:29 PM,Tuesday,Auto,Bicycle,,Massachusetts Ave,Blake St," Massachusetts Ave & Blake St Cambridge, MA",42.390918,-71.122259,"(42.390918, -71.122259)"
26068,6/8/11 2:46 PM,Wednesday,Auto,Bicycle,93,Rindge Ave,,"93 Rindge Ave Cambridge, MA",42.392954,-71.128563,"(42.392954, -71.128563)"
26087,6/13/11 7:50 AM,Monday,Taxi,Bicycle,359,Broadway,,"359 Broadway Cambridge, MA",42.370608,-71.103869,"(42.370608, -71.103869)"
26095,6/14/11 12:49 PM,Tuesday,Auto,Bicycle,,Columbia St,Cambridge St," Columbia St & Cambridge St Cambridge, MA",42.372912,-71.094512,"(42.372912, -71.094512)"
26097,6/15/11 4:12 PM,Wednesday,Bicycle,Parked Vehicle,,Broadway,Antrim St," Broadway & Antrim St Cambridge, MA",42.370399,-71.103764,"(42.370399, -71.103764)"
26106,6/17/11 12:00 AM,Friday,Auto,Bicycle,1692,Massachusetts Ave,,"1692 Massachusetts Ave Cambridge, MA",42.382829,-71.119857,"(42.382829, -71.119857)"
26107,6/17/11 9:11 AM,Friday,Auto,Bicycle,,MAIN ST,Windsor St," MAIN ST & Windsor St Cambridge, MA",42.363207,-71.0967,"(42.363207, -71.0967)"
26121,6/21/11 7:18 PM,Tuesday,Auto,Bicycle,1957,Massachusetts Ave,Allen St,"1957 Massachusetts Ave Cambridge, MA",42.389902,-71.120264,"(42.389902, -71.120264)"
26126,6/22/11 6:58 PM,Wednesday,Bicycle,Auto,,PROSPECT ST,Broadway," PROSPECT ST & Broadway Cambridge, MA",42.369317,-71.101021,"(42.369317, -71.101021)"
26129,6/23/11 8:00 AM,Thursday,Auto,Bicycle,,Windsor St,Massachusetts Ave," Windsor St & Massachusetts Ave Cambridge, MA",42.361389,-71.096953,"(42.361389, -71.096953)"
26141,6/25/11 7:30 AM,Saturday,Auto,Bicycle,,Brattle St,PALMER ST," Brattle St & PALMER ST Cambridge, MA",42.373371,-71.119913,"(42.373371, -71.119913)"
26153,6/27/11 11:52 AM,Monday,Truck,Bicycle,,Massachusetts Ave,ESSEX ST," Massachusetts Ave & ESSEX ST Cambridge, MA",42.36508,-71.10318,"(42.36508, -71.10318)"
26157,6/27/11 12:00 PM,Monday,Truck,Bicycle,,GARDEN ST,MASON ST," GARDEN ST & MASON ST Cambridge, MA",42.376564,-71.122185,"(42.376564, -71.122185)"
26165,7/2/11 3:59 PM,,Auto,Bicycle,,MAIN ST,Windsor St," MAIN ST & Windsor St Cambridge, MA",42.363207,-71.0967,"(42.363207, -71.0967)"
26168,7/1/11 4:40 PM,,Auto,Bicycle,,ELLERY ST,Broadway," ELLERY ST & Broadway Cambridge, MA",42.372752,-71.109728,"(42.372752, -71.109728)"
26177,6/30/11 6:15 PM,,Auto,Bicycle,,HARVARD ST,Crawford St," HARVARD ST & Crawford St Cambridge, MA",,,
26191,7/11/11 11:19 AM,,Auto,Bicycle,468,Broadway,,"468 Broadway Cambridge, MA",42.373951,-71.113066,"(42.373951, -71.113066)"
26195,7/11/11 8:35 AM,,Auto,Bicycle,,HURON AVE,PARK AVE," HURON AVE & PARK AVE Cambridge, MA",42.378904,-71.14834,"(42.378904, -71.14834)"
26197,7/12/11 8:00 AM,Tuesday,Auto,Bicycle,,Cambridge St,Ellsworth Ave," Cambridge St & Ellsworth Ave Cambridge, MA",42.374407,-71.106082,"(42.374407, -71.106082)"
26198,7/12/11 8:23 AM,Tuesday,Auto,Bicycle,358,Broadway,,"358 Broadway Cambridge, MA",42.370367,-71.104168,"(42.370367, -71.104168)"
26201,7/13/11 7:30 PM,Wednesday,Bicycle,Parked Vehicle,2143,Massachusetts Ave,,"2143 Massachusetts Ave Cambridge, MA",42.392356,-71.124267,"(42.392356, -71.124267)"
26209,7/14/11 5:36 PM,Thursday,Auto,Bicycle,,Massachusetts Ave,FOREST ST," Massachusetts Ave & FOREST ST Cambridge, MA",42.38538,-71.119336,"(42.38538, -71.119336)"
26234,7/18/11 8:52 PM,Monday,Auto,Bicycle,,Massachusetts Ave,Vassar St," Massachusetts Ave & Vassar St Cambridge, MA",42.360154,-71.094882,"(42.360154, -71.094882)"
26238,7/19/11 6:21 PM,Tuesday,Auto,Bicycle,629,Massachusetts Ave,,"629 Massachusetts Ave Cambridge, MA",42.365287,-71.103394,"(42.365287, -71.103394)"
26242,7/21/11 12:00 AM,Thursday,Auto,Bicycle,,Massachusetts Ave,Rindge Ave," Massachusetts Ave & Rindge Ave Cambridge, MA",42.392615,-71.124874,"(42.392615, -71.124874)"
26251,7/22/11 11:01 AM,Friday,Auto,Bicycle,,Hampshire St,PROSPECT ST," Hampshire St & PROSPECT ST Cambridge, MA",42.372202,-71.098975,"(42.372202, -71.098975)"
26255,7/23/11 2:49 PM,Saturday,Auto,Bicycle,,GARDEN ST,Walden St," GARDEN ST & Walden St Cambridge, MA",42.385523,-71.132217,"(42.385523, -71.132217)"
26264,7/26/11 11:29 PM,Tuesday,Auto,Bicycle,,Massachusetts Ave,Hadley St," Massachusetts Ave & Hadley St Cambridge, MA",42.391158,-71.122802,"(42.391158, -71.122802)"
26273,7/28/11 8:19 AM,Thursday,Auto,Bicycle,,Broadway,Hampshire St," Broadway & Hampshire St Cambridge, MA",42.365435,-71.091112,"(42.365435, -71.091112)"
26286,7/30/11 2:00 AM,Saturday,Taxi,Bicycle,,Massachusetts Ave,Bow St," Massachusetts Ave & Bow St Cambridge, MA",42.372211,-71.115587,"(42.372211, -71.115587)"
26287,7/30/11 6:59 PM,Saturday,Auto,Bicycle,,Landsdowne St,Massachusetts Ave," Landsdowne St & Massachusetts Ave Cambridge, MA",42.361746,-71.097556,"(42.361746, -71.097556)"
26288,7/30/11 9:00 PM,Saturday,Auto,Bicycle,524,Franklin St,,"524 Franklin St Cambridge, MA",42.367759,-71.111376,"(42.367759, -71.111376)"
26294,8/3/11 8:26 AM,Wednesday,Auto,Bicycle,,Massachusetts Ave,Cedar St," Massachusetts Ave & Cedar St Cambridge, MA",42.397973,-71.130897,"(42.397973, -71.130897)"
26295,8/3/11 9:55 AM,Wednesday,Auto,Bicycle,,Brattle St,HAWTHORNE ST," Brattle St & HAWTHORNE ST Cambridge, MA",42.376233,-71.125649,"(42.376233, -71.125649)"
26300,7/29/11 9:31 PM,Friday,Auto,Bicycle,524,Franklin St,,"524 Franklin St Cambridge, MA",42.367759,-71.111376,"(42.367759, -71.111376)"
26302,8/4/11 4:05 PM,Thursday,Bicycle,Pedestrian,183,PROSPECT ST,,"183 PROSPECT ST Cambridge, MA",42.36992,-71.100806,"(42.36992, -71.100806)"
26304,8/4/11 5:32 PM,Tuesday,Auto,Bicycle,,Broadway,Windsor St," Broadway & Windsor St Cambridge, MA",42.367107,-71.095416,"(42.367107, -71.095416)"
26318,8/7/11 3:20 PM,Sunday,Auto,Bicycle,20,OXFORD AVE,,"20 OXFORD AVE Cambridge, MA",42.376466,-71.156494,"(42.376466, -71.156494)"
26319,8/7/11 4:57 PM,Sunday,Auto,Bicycle,,PACIFIC ST,," PACIFIC ST &  Cambridge, MA",,,
26326,8/9/11 4:05 PM,Tuesday,Auto,Bicycle,,Hampshire St,ELM ST," Hampshire St & ELM ST Cambridge, MA",42.37048,-71.096879,"(42.37048, -71.096879)"
26335,8/11/11 9:59 AM,Thursday,Auto,Bicycle,,Cambridge St,Windsor St," Cambridge St & Windsor St Cambridge, MA",42.37275,-71.093288,"(42.37275, -71.093288)"
26339,8/11/11 7:44 AM,Thursday,Auto,Bicycle,,Massachusetts Ave,Blake St," Massachusetts Ave & Blake St Cambridge, MA",42.390918,-71.122259,"(42.390918, -71.122259)"
26341,8/12/11 9:40 AM,Friday,Truck,Bicycle,,Franklin St,Western Ave," Franklin St & Western Ave Cambridge, MA",42.365143,-71.106206,"(42.365143, -71.106206)"
26343,8/12/11 4:37 PM,Friday,Auto,Bicycle,193,Hampshire St,Cambridge St,"193 Hampshire St Cambridge, MA",42.372944,-71.099708,"(42.372944, -71.099708)"
26344,8/13/11 6:40 PM,Friday,Auto,Bicycle,1933,Massachusetts Ave,,"1933 Massachusetts Ave Cambridge, MA",42.38961,-71.11996,"(42.38961, -71.11996)"
26345,8/13/11 6:59 PM,Saturday,Auto,Bicycle,,NORRIS ST,Massachusetts Ave," NORRIS ST & Massachusetts Ave Cambridge, MA",42.39603,-71.128707,"(42.39603, -71.128707)"
